archivo,hoja,producto,unidad_medida,dia_del_mes,cantidad,total_fila
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,1,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,2,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,3,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,4,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,5,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,6,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,7,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,8,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,9,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,10,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,11,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,12,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,13,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,14,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,15,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,16,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,17,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,18,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,19,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,20,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,21,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,22,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,23,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,24,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,25,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,26,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,27,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,28,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,29,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BANANO URABA,UNIDAD,30,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,1,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,2,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,3,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,4,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,5,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,6,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,7,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,8,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,9,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,10,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,11,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,12,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,13,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,14,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,15,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,16,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,17,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,18,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,19,,0
COLOMBINA_FEBRERO.xlsx,FRUVER DF,BROCOLI,LIBRAS,20,,0
